# Block Seven Deck Configuration
# Format: COLOR,VALUE,QUANTITY,EFFECTS,POWER

# --- NUMBERS (Zero to Nine) ---
RED,ZERO,1,,0
RED,ONE,2,,0
RED,TWO,2,,0
RED,THREE,2,,0
RED,FOUR,2,,0
RED,FIVE,2,,0
RED,SIX,2,,0
RED,SEVEN,2,SKIP_NEXT,0
RED,EIGHT,2,,0
RED,NINE,2,,0

BLUE,ZERO,1,,0
BLUE,ONE,2,,0
BLUE,TWO,2,,0
BLUE,THREE,2,,0
BLUE,FOUR,2,,0
BLUE,FIVE,2,,0
BLUE,SIX,2,,0
BLUE,SEVEN,2,SKIP_NEXT,0
BLUE,EIGHT,2,,0
BLUE,NINE,2,,0

GREEN,ZERO,1,,0
GREEN,ONE,2,,0
GREEN,TWO,2,,0
GREEN,THREE,2,,0
GREEN,FOUR,2,,0
GREEN,FIVE,2,,0
GREEN,SIX,2,,0
GREEN,SEVEN,2,SKIP_NEXT,0
GREEN,EIGHT,2,,0
GREEN,NINE,2,,0

YELLOW,ZERO,1,,0
YELLOW,ONE,2,,0
YELLOW,TWO,2,,0
YELLOW,THREE,2,,0
YELLOW,FOUR,2,,0
YELLOW,FIVE,2,,0
YELLOW,SIX,2,,0
YELLOW,SEVEN,2,SKIP_NEXT,0
YELLOW,EIGHT,2,,0
YELLOW,NINE,2,,0

# --- ACTIONS ---
RED,SKIP,2,SKIP_NEXT,0
BLUE,SKIP,2,SKIP_NEXT,0
GREEN,SKIP,2,SKIP_NEXT,0
YELLOW,SKIP,2,SKIP_NEXT,0

RED,REVERSE,2,REVERSE_TURN,0
BLUE,REVERSE,2,REVERSE_TURN,0
GREEN,REVERSE,2,REVERSE_TURN,0
YELLOW,REVERSE,2,REVERSE_TURN,0

RED,DRAW_TWO,2,,2
BLUE,DRAW_TWO,2,,2
GREEN,DRAW_TWO,2,,2
YELLOW,DRAW_TWO,2,,2

# --- WILDS ---
BLACK,WILD,4,,0
BLACK,WILD_DRAW_FOUR,4,,4
